name,rating,country,category,price,abv,age,brand,time_data
Maker's Mark Bourbon 46,83,USA,Bourbon,35,47,,Maker's Mark,01-01-1995 00:00:00
Oban 14 Year Old Single Malt Scotch,83,Scotland,Highlands,65,43,14,Oban,01-01-1995 00:00:00
Laphroaig 10 Year Old Cast Strength Islay Single Malt Scotch Whisky,83,Scotland,Islay,60,43,10,Laphroaig,01-01-1995 00:00:00
Powers Gold Label Irish Whiskey,84,Ireland,Blended,25,40,12,Powers,01-01-1995 00:00:00
Laphroaig 10 Year Old Single Malt Scotch Whisky,84,Scotland,Islay,47,40,10,Laphroaig,01-01-1995 00:00:00
Johnnie Walker Blue Label Scotch Whisky,84,Scotland,Blended,199,40,12,Johnnie Walker,01-01-1995 00:00:00
Kilbeggan 15 Year Old Finest Irish Whiskey,84,Ireland,Blended,100,40,15,Kilbeggan,01-01-1995 00:00:00
Tullamore Dew 12 Year Old Irish Special Reserve Whiskey,84,Ireland,Blended,43,40,12,Tullamore,01-01-1995 00:00:00
Balvenie Portwood 21 Year Old Single Malt Scotch Whisky,84,Scotland,Speyside,160,43,21,Balvenie,01-01-1995 00:00:00
High West Double Rye Whiskey,85,USA,Rye,34,46,,High West,01-01-1995 00:00:00
Lagavulin 16 Scotch,85,Scotland,Islay,68,43,16,Lagavulin,01-01-1995 00:00:00
Auchentoshan 18-Year Old Single Malt Scotch Whisky,85,Scotland,Lowlands,98,54.7,18,Auchentoshan,01-01-1995 00:00:00
Amrut Fusion Single Malt Whisky,85,India,Single Malt,65,50,,Amrut,01-01-1995 00:00:00
Black Maple Hill 23 Year Old Limited Edition Kentucky Straight Rye Whiskey,85,USA,Rye,100,47.5,23,Black Maple Hill,01-01-1995 00:00:00
Bushmills 10 Year Old Single Malt Irish Whiskey,85,Ireland,Single Malt,39,40,10,Bushmills,01-01-1995 00:00:00
Springbank 15 Year Old Campbeltown Single Malt Scotch Whisky,85,Scotland,Campbeltown,95,46,15,Springbank,01-01-1995 00:00:00
Cedar Ridge Distillery Iowa Bourbon Whiskey,85,USA,Bourbon,36,40,,Cedar Ridge,01-01-1995 00:00:00
Jameson Irish Whiskey Gold Reserve,86,Ireland,Blended,61,40,,Jameson,01-01-1995 00:00:00
John L. Sullivan Irish Whiskey,86,Ireland,Blended,24,40,,John L. Sullivan,01-01-1995 00:00:00
Tullamore Dew 10 Year Old Irish Reserve Whiskey,86,Ireland,Blended,,40,10,Tullamore,01-01-1995 00:00:00
Caol Ila 12 Year Old Single Malt Scotch,86,Scotland,Islay,43,43,12,Caol Ila,01-01-1995 00:00:00
Yamazaki Single Malt 12-Year Whisky,86,Japan,Single Malt,43,43,12,Yamazaki,01-01-1995 00:00:00
Jim Beam Black Bourbon,86,USA,Bourbon,20,43,8,Jim Beam,01-01-1995 00:00:00
Buffalo Trace Kentucky Straight Bourbon Whiskey,86,USA,Bourbon,24,45,,Buffalo Trace,01-01-1995 00:00:00
Old Parr 12 Year Old Blended Scotch,86,Scotland,Blended,40,40,12,Old Parr,01-01-1995 00:00:00
Balvenie 15 Year Old Single Barrel Single Malt Scotch,86,Scotland,Speyside,49,47.8,15,Balvenie,01-01-1995 00:00:00
George Dickel Tennessee Whiskey #12,87,USA,Corn,20,45,,George Dickel,01-01-1995 00:00:00
Jameson 12 Year Old Irish Whiskey,87,Ireland,Blended,50,40,12,Jameson,01-01-1995 00:00:00
Elmer T Lee Bourbon Whiskey,87,USA,Bourbon,30,45,23,Elmer T Lee,01-01-1995 00:00:00
Tyrconnell 10 Year Old Single Malt Sherry Cask Finish Irish Whiskey,87,Ireland,Single Malt,60,,10,Tyrconnell,01-01-1995 00:00:00
Ledaig 10 Year Old Single Malt Scotch,87,Scotland,Highlands,50,43,10,Ledaig,01-01-1995 00:00:00
Blanton's Single Barrel Bourbon,87,USA,Bourbon,49,47,,Blanton,01-01-1995 00:00:00
Four Roses Single Barrel Kentucky Straight Bourbon,87,USA,Bourbon,53,50,10,Four Roses,01-01-1995 00:00:00
Bowman Brothers Virginia Straight Bourbon Whiskey,87,USA,Bourbon,40,45,,Bowman,01-01-1995 00:00:00
Russell's Reserve 6 Year Old Straight Rye Whiskey,88,USA,Rye,27,45,6,Russell's,01-01-1995 00:00:00
Balcones True Blue Cask Strength Corn Whiskey,88,USA,Corn,59,63,,Balcones,01-01-1995 00:00:00
Connemara Turf Mor Irish Whiskey,88,Ireland,Single Malt,75,58,,Connemara,01-01-1995 00:00:00
Downslope Double Diamond Whiskey,88,USA,Blended,32,40,,Downslope,01-01-1995 00:00:00
Forty Creek Double Barrel Canadian Whiskey,88,Canada,Blended,60,40,,Forty Creek,01-01-1995 00:00:00
Greenore 15 Year Old Single Malt Irish Whiskey,88,Ireland,Single Malt,100,43,15,Greenore,01-01-1995 00:00:00
Hudson New York Corn Whiskey,88,USA,Corn,35,40,,Hudson,01-01-1995 00:00:00
Kansas Spirit Whiskey,88,USA,Unaged,30,40,0,Kansas Spirit,01-01-1995 00:00:00
Kavalan Solist Fino Cast Strength Single Malt Whiskey,88,Taiwan,Single Malt,220,58.3,,Kavalan,01-01-1995 00:00:00
Kavalan Solist Sherry Single Malt Whisky,88,Taiwan,Single Malt,117,58.7,,Kavalan,01-01-1995 00:00:00
Leopold Bros. Maryland Style Rye Whiskey,88,USA,Rye,48,43,,Leopold Bros.,01-01-1995 00:00:00
Original Moonshine Corn Whiskey,88,USA,Corn,40,40,,Stillhouse,01-01-1995 00:00:00
OYO Soft Red Winter Wheat Whiskey Single Barrel,88,USA,Grain,45,46,,Middle West,01-01-1995 00:00:00
Pescadores Pumpkin Whisky,88,Taiwan,Flavored,25,42,,Pescadores,01-01-1995 00:00:00
Rogue Oregon Single Malt Whiskey,88,USA,Single Malt,48,40,,Rogue,01-01-1995 00:00:00
Smooth Ambler Exceptional White Whisky,88,USA,Unaged,28,50,0,Smooth Ambler,01-01-1995 00:00:00
Highland Park 12 Year Old Orkneys Single Malt Whisky,88,Scotland,Islands,40,40,12,Highland Park,01-01-1995 00:00:00
Macallan 30 Year Old Fine Oak Speyside Single Malt Whisky,88,Scotland,Speyside,850,43,30,Macallan,01-01-1995 00:00:00
