name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Glen Breton Rare 10 Year Old Single Malt Canadian Whisky|75|Canada|Single Malt|85|43|10|Glen Breton|1995-01-01  00:00:00|44|a73d42c5-3785-42c5-8484-beedfc4a35bc|14.36|44.61|72.37
Wasmund's Copper Fox Rye Whisky|76|USA|Rye|46|45|1|Copper Fox|1995-01-01  00:00:00|45|b48452ae-a589-413d-a24c-34cf46ec5cba|14.36|44.61|72.37
Baker's Kentucky Straight Bourbon Whiskey|76|USA|Bourbon|38|53|7|Jim Beam|1995-01-01  00:00:00|46|002f998e-e1c4-4e4c-9c58-99c91b59abcd|14.36|44.61|72.37
Amrut Indian Single Malt Whisky|76|India|Single Malt|36|46||Amrut|1995-01-01  00:00:00|47|d4f6728d-bf94-4843-a030-dcc51df69675|14.36|44.61|72.37
Amrut Peated Indian Single Malt Whisky|76|India|Single Malt|70|46||Amrut|1995-01-01  00:00:00|48|32eda6d6-5f9f-4327-8522-6919ccf6588e|14.36|44.61|72.37
Early Times 354 Bourbon|76|USA|Bourbon|16|40||Early Times|1995-01-01  00:00:00|49|f7c427fe-28fe-40db-bb60-85cf5eb9239e|14.36|44.61|72.37
Johnnie Walker Green Label Scotch Whisky|76|Scotland|Blended|45|40|15|Johnnie Walker|1995-01-01  00:00:00|50|cc491321-7807-4200-8809-950508391445|14.36|44.61|72.37
Glen Breton Battle of the Glen 15 Year Old Single Malt Canadian Whisky|77|Canada|Single Malt||43|15|Glenora|1995-01-01  00:00:00|51|dd8ccbf5-91d5-492e-9e6c-fb7520207310|14.36|44.61|72.37
Michael Collins Blended Irish Whiskey|77|Ireland|Blended|28|40|12|Michael Collins|1995-01-01  00:00:00|52|45c91bec-8d39-4665-b82e-33261cf14884|14.36|44.61|72.37
Penderyn Single Malt Welsh Whisky|77|England|Single Malt|70|46||Penderyn|1995-01-01  00:00:00|53|afcb3ff5-ba7d-4d70-952f-31fb92ec9cce|14.36|44.61|72.37
Balvenie Madeira Cask 17 Year Old Single Malt Scotch Whisky|77|Scotland|Speyside|179|43|17|Balvenie|1995-01-01  00:00:00|54|772138c0-ddfe-47e4-b5ca-087c3d3ba970|14.36|44.61|72.37
Wild Turkey Bourbon 101|77|USA|Bourbon|20|50|8|Wild Turkey|1995-01-01  00:00:00|55|60f8ebb5-3adc-4da5-a64f-46b7055dbee6|14.36|44.61|72.37
Sazerac 18 Year Old Kentucky Straight Rye Whiskey|78|USA|Rye|75|45|18|Sazerac|1995-01-01  00:00:00|56|3cbbfaad-3886-4909-abe5-1d79b4da0e7d|14.36|44.61|72.37
Grant's Family Reserve Blended Scotch Whisky|78|Scotland|Blended|17|40||William Grant & Sons|1995-01-01  00:00:00|57|43264730-41ca-4b6b-a95d-ebd2b141ca1f|14.36|44.61|72.37
Johnnie Walker Gold Label Blended Scotch Whisky|78|Scotland|Blended|73|40|18|Johnnie Walker|1995-01-01  00:00:00|58|84e110fe-edc3-46c2-98bd-506b80817532|14.36|44.61|72.37
Connemara Cask Strength Peated Single Malt Irish Whiskey|78|Ireland|Single Malt|65|58||Connemara|1995-01-01  00:00:00|59|dd16b4f5-fbe4-4ec1-8951-d62ae221c405|14.36|44.61|72.37
Bushmills Black Bush Irish Whiskey|79|Ireland|Blended|32|40|11|Bushmills|1995-01-01  00:00:00|60|97b4eeca-b437-45e5-ad55-eb0952a4eebb|14.36|44.61|72.37
Hudson Manhattan Rye|79|USA|Rye|41|46||Hudson|1995-01-01  00:00:00|61|ac09dc8a-b3bf-4690-bca6-25ab4716b3c2|14.36|44.61|72.37
George Dickel Barrel Select Tennessee Whiskey|79|USA|Corn|26|43|12|George Dickel|1995-01-01  00:00:00|62|b315a9d2-ccb6-4be5-af1e-d0e405cbc591|14.36|44.61|72.37
Royal Canadian Small Batch Canadian Whisky|79|Canada|Blended|27|40||Royal Canadian|1995-01-01  00:00:00|63|10e5a3b8-d835-423c-b27e-6aba243f2c19|14.36|44.61|72.37
Canadian Mist Black Diamond Canadian Whiskey|80|Canada|Rye|16|43||Canadian Mist|1995-01-01  00:00:00|64|0f96f83a-8871-4bde-b433-da5ab19a47a4|14.36|44.61|72.37
Isle of Jura 16 Year Old Single Malt Scotch Whisky|80|Scotland|Islands|63|43|16|Isle of Jura|1995-01-01  00:00:00|65|107f8dec-46ed-4149-9233-342db728ab54|14.36|44.61|72.37
Evan Williams 1999 Vintage Bourbon Whiskey|80|USA|Bourbon|25|43|12|Evan Williams|1995-01-01  00:00:00|66|c85edc35-4c0b-476f-b316-6b6d22996a39|14.36|44.61|72.37
